country,iso_code,gmm_component_0_probability,gmm_component_1_probability,gmm_component,gmm_max_probability
Saudi Arabia,SAU,0.9810698131850488,0.018930186814950848,0,0.9810698131850488
Senegal,SEN,0.8654610030657395,0.13453899693426072,0,0.8654610030657395
Serbia,SRB,0.9975550985606056,0.002444901439394277,0,0.9975550985606056
Seychelles,SYC,0.9986662771623667,0.001333722837633318,0,0.9986662771623667
Sierra Leone,SLE,0.9999022594873578,9.774051264238698e-05,0,0.9999022594873578
Singapore,SGP,0.17232973623717454,0.8276702637628248,1,0.8276702637628248
Slovakia,SVK,0.9892237427305359,0.010776257269464256,0,0.9892237427305359
Slovenia,SVN,0.9886395821394288,0.01136041786057115,0,0.9886395821394288
Solomon Islands,SLB,0.8995684888199725,0.10043151118002762,0,0.8995684888199725
Somalia,SOM,0.9854556974594244,0.014544302540575888,0,0.9854556974594244
South Africa,ZAF,0.9717658737644647,0.028234126235535232,0,0.9717658737644647
South Korea,KOR,0.512563831142139,0.48743616885786156,0,0.512563831142139
South Sudan,SSD,0.9998920484816378,0.00010795151836243429,0,0.9998920484816378
Spain,ESP,0.9211476411520745,0.07885235884792542,0,0.9211476411520745
Sri Lanka,LKA,0.38534249666047216,0.6146575033395284,1,0.6146575033395284
Sudan,SDN,0.9993933683037345,0.0006066316962652975,0,0.9993933683037345
Suriname,SUR,0.9866363892354959,0.013363610764504336,0,0.9866363892354959
Sweden,SWE,0.9594166669083884,0.04058333309161195,0,0.9594166669083884
Switzerland,CHE,0.9777922198010487,0.02220778019895149,0,0.9777922198010487
Syria,SYR,0.9793653225312774,0.020634677468722544,0,0.9793653225312774
Taiwan,TWN,0.7182634324966634,0.281736567503337,0,0.7182634324966634
Tajikistan,TJK,7.877940284574266e-18,1.0,1,1.0
Tanzania,TZA,0.9825229690391518,0.0174770309608474,0,0.9825229690391518
Thailand,THA,0.8943049189673136,0.10569508103268677,0,0.8943049189673136
Togo,TGO,0.9987544733446991,0.0012455266553004674,0,0.9987544733446991
Tonga,TON,0.9995542018510987,0.00044579814890123825,0,0.9995542018510987
Trinidad and Tobago,TTO,0.5560440819002198,0.44395591809978036,0,0.5560440819002198
Tunisia,TUN,0.8449544699272689,0.15504553007273147,0,0.8449544699272689
Turkey,TUR,0.9853055842628673,0.014694415737132347,0,0.9853055842628673
Turkmenistan,TKM,0.9868113329982372,0.013188667001762902,0,0.9868113329982372
Uganda,UGA,0.9998737460497361,0.00012625395026419822,0,0.9998737460497361
Ukraine,UKR,0.8467741282045543,0.1532258717954461,0,0.8467741282045543
United Arab Emirates,ARE,0.965529614666836,0.034470385333163635,0,0.965529614666836
United Kingdom,GBR,0.8857045739564142,0.11429542604358528,0,0.8857045739564142
United States,USA,0.9860454730242306,0.013954526975769408,0,0.9860454730242306
Uruguay,URY,0.9952107718084048,0.00478922819159556,0,0.9952107718084048
Uzbekistan,UZB,0.97432447574979,0.02567552425020962,0,0.97432447574979
Vanuatu,VUT,0.9996589564602123,0.00034104353978806637,0,0.9996589564602123
Venezuela,VEN,0.35443694260267694,0.6455630573973237,1,0.6455630573973237
Vietnam,VNM,0.9269925803859166,0.07300741961408416,0,0.9269925803859166
Yemen,YEM,0.0035609401415775074,0.9964390598584231,1,0.9964390598584231
Zambia,ZMB,0.9944398181013651,0.005560181898634715,0,0.9944398181013651
Zimbabwe,ZWE,0.9571289808165085,0.042871019183491677,0,0.9571289808165085
