country,iso_code,log_recent_per_capita,long_term_log_slope,recent_log_slope,slope_acceleration,growth_volatility_mad,peak_timing,post_peak_change,recent_coal_share,recent_gas_share,coal_share_change,gas_share_change,cluster,PC1,PC2,PC3,PC4
Guatemala,GTM,0.7366854825744287,0.01680800218562578,0.041352081357002385,0.024544079171376604,4.3035,0.9655172413793104,-0.05683836589698052,0.2467524277966956,0.0,0.2467524277966956,-0.0033860045146726,0,5.08146923698348,0.02458665975226905,0.2014650228166801,-0.5037892143472233
Guinea,GIN,0.27383666562972786,0.026607882883219556,0.06355799993314018,0.03695011704992063,1.3495,0.896551724137931,-0.003174603174603177,0.0,0.0,0.0,0.0,1,0.616298561197959,2.184209249919634,0.722864809598765,0.31697585952967017
Guinea-Bissau,GNB,0.12221763272424921,0.015286277938583977,0.0915005440840706,0.07621426614548663,10.608999999999998,1.0,0.0,0.0,0.0,0.0,0.0,1,0.9593749534552813,3.4175281966367246,1.2437597844576864,0.14033609925793608
Guyana,GUY,1.4527841023887236,0.020690337409371953,0.04369791600956036,0.02300757860018841,5.3645,1.0,0.0,0.0,0.0,0.0,0.0,1,0.451933202888201,1.6141869726514726,0.3028993515777346,0.4505857243020847
Haiti,HTI,0.25464221837358075,0.0423263237035562,0.02746655229342647,-0.01485977141012973,7.523,1.0,0.0,0.0,0.0,0.0,0.0,1,0.41519849478530957,0.8838338457700593,-0.16137213265406308,1.787186704966084
Honduras,HND,0.7246458476193163,0.022853808556012926,-0.0023548434799362788,-0.025208652035949207,5.4355,0.9655172413793104,-0.041395348837209286,0.0,0.0,-0.0013427324605572,0.0,1,0.040029874370870286,0.20701150310384397,-0.6168346502103804,1.2789312907755863
Hong Kong,HKG,1.8866150002407338,-0.0002910116943394083,-0.03182995656820446,-0.031538944873865056,4.143000000000001,0.4827586206896552,-0.28256,0.5662452162960809,0.1522792229811558,-0.03953914886656329,0.1522792229811558,1,-1.3476938374959213,-1.23062783003614,-0.13791781593324468,-0.28124314219100793
Hungary,HUN,1.7969128344688496,-0.010182048495257816,0.012396083691919446,0.02257813218717726,1.768,0.0,-0.18838421444527187,0.1754563466970195,0.4196389439632683,-0.13952697147101198,0.0918493709507654,1,-2.9313384312764605,1.0695712396131818,0.705799202739866,-1.238839301017494
Iceland,ISL,2.3840729098403135,0.0039007538267672257,-0.01789353603396806,-0.021794289860735283,3.2155,0.5517241379310345,-0.21105227195080287,0.2043440983138039,0.000301750150875,0.07790240672901111,0.000301750150875,1,1.1973415489634207,-0.8474784139598285,-1.0222650292609485,-0.39894232503452637
India,IND,1.0577902941478545,0.03616746812758809,0.023693987372231308,-0.01247348075535678,2.1415,0.896551724137931,-0.037500000000000006,0.6798990778690613,0.0516510695977174,0.023463732897041067,0.008158378482468295,1,0.835770802016064,0.4406234088763615,-0.38396865985862455,0.5062487365956854
Indonesia,IDN,1.1841781769977564,0.028098664141580326,0.02168630682592009,-0.0064123573156602345,6.3515,0.9655172413793104,-0.004153913423699198,0.5010110733580184,0.139906360503709,0.38005575410636944,-0.1679638326138921,0,7.780778308888436,-0.9795443145518117,-1.6077380816607578,-0.47370483919921635
Iran,IRN,2.2358040593036943,0.027797766668584502,0.015189696495364155,-0.012608070173220347,2.1165000000000003,1.0,0.0,0.0086861731438841,0.6494426009408238,-0.008326185316811502,0.3372189870250241,1,-0.7385577136972877,-1.471397353876742,2.999192803066637,0.39842758099310766
Iraq,IRQ,1.701834761700068,0.007715008904433887,0.017651045152669607,0.009936036248235719,4.579,0.896551724137931,-0.07311269738265197,0.0,0.2241531584167832,0.0,0.1409440144346118,1,-0.15442380960644828,0.13662667701150644,1.1757456000158348,0.024514295243813718
Ireland,IRL,2.1447610078004784,-0.013513023552338493,-0.013992534253938517,-0.00047951070160002357,3.385,0.27586206896551724,-0.39130252100840335,0.1425225537820958,0.3018736988202637,-0.23354812606216888,0.1402928619794616,1,-5.035765264169591,0.6561259985588248,0.385493269124636,-0.6315387631337338
Israel,ISR,2.055276914680538,-0.010694082176369553,-0.03551353453937997,-0.02481945236301042,4.5344999999999995,0.27586206896551724,-0.31568949584146216,0.3114466835025511,0.3083263334733305,-0.04181901381850178,0.30736916668701797,1,-1.8552815432697563,-2.0253709074356823,1.336720281802774,-0.6362916143765256
Italy,ITA,1.894316057553147,-0.014451339692321586,-0.018415683582809365,-0.003964343890487779,1.891,0.3793103448275862,-0.3775510204081632,0.0935698366211711,0.4505811276270469,-0.042920663966935196,0.2122460679768537,1,-1.680039444546874,-1.1183111503979866,1.133739000604504,-1.1471005560995087
Jamaica,JAM,1.324152964582041,-0.012456604308452886,-0.00925911504821471,0.003197489260238176,4.016,0.3448275862068966,-0.37708592777085925,0.0302031850631521,0.0619439868204283,0.012256917674387097,0.0619439868204283,1,-0.1950252814588369,-0.18951185314095592,-0.2152958580247913,-0.8573097492512549
Japan,JPN,2.2719196786831604,-0.0030980255628320673,-0.02497378837330793,-0.021875762810475863,2.1045,0.6896551724137931,-0.18279622715661248,0.3977324886706398,0.2126750404359799,0.118268466155032,0.0949436915141129,1,1.7322616948945528,-1.7506961515725075,-0.19433322046775736,-0.834927994716555
Jordan,JOR,1.1945283454979363,-0.008131906670710981,-0.056689109730035075,-0.048557203059324094,3.4865000000000004,0.4482758620689655,-0.41175563097809326,0.0325612110129025,0.3392325290283592,0.0325612110129025,0.3055906779217194,1,-0.7161743910951716,-3.1899610109704564,1.062465284713551,-0.1880738539278152
Kazakhstan,KAZ,2.7979518416974907,0.01950007503744027,-0.008887324165648448,-0.028387399203088717,5.765,0.8620689655172413,-0.21134202183867548,0.6414341826971497,0.180733015879856,-0.07165431071527895,0.06882650829248459,1,-1.4904081127430986,-0.2819544998102891,-0.5141848172095709,0.24733747919932117
Kenya,KEN,0.3038014543316642,0.00883807192290862,0.0445318153003793,0.03569374337747068,6.911,1.0,0.0,0.1036956382501761,0.0,0.04902660751731559,0.0,1,1.4376774341347973,1.6846446268677802,0.38354191928614156,0.15047975499075622
Kiribati,KIR,0.44596705141749426,0.017583142514844347,0.019898816968719465,0.0023156744538751182,6.25,0.8620689655172413,-0.040350877192982304,0.0,0.0,0.0,0.0,1,0.254229040138561,1.014005746598775,-0.15696030090690677,0.8182737011925398
Kuwait,KWT,3.20107838583762,-0.009494414817179483,-0.02512634015509994,-0.015631925337920457,5.6915,0.06896551724137931,-0.39290197250448305,0.0054966546577457,0.4549181939746716,0.0054966546577457,0.1421104644264547,1,-0.7706956738287136,-1.556713365389631,0.3156281768476182,-1.2405431638657323
Kyrgyzstan,KGZ,0.9182887345368281,0.009101438301310834,-0.027279745791389236,-0.03638118409270007,12.512,0.0,-0.34539007092198587,0.3940929915196413,0.0762033731380031,0.03339694461213227,-0.21450969665583078,1,0.7484274360312193,0.13758998164520253,-3.274038703971302,0.10702427057941034
Laos,LAO,1.3339478807476814,0.11810605885024195,0.20899132082953903,0.09088526197929708,3.7720000000000002,0.8620689655172413,-0.030758226037195944,0.8338351524275498,0.0,0.8050811588173262,0.0,0,17.216134766756227,-0.39014187907683945,2.6181231646861156,-1.6184118992245424
Latvia,LVA,1.574432303235285,-0.0009977016093207407,0.0072076329183834815,0.008205334527704222,4.907500000000001,0.0,-0.2548124627902361,0.0236568334045888,0.3409461663947797,-0.12457433314837871,0.12219089569145711,1,-2.7436816232571206,0.5765272831106213,0.7275879721778546,-0.5727464073647167
Lebanon,LBN,1.670156647468806,0.01134640777919794,-0.0030018144215150956,-0.014348222200713035,6.724500000000001,0.896551724137931,-0.12871629407697635,0.0084550757210895,0.0,-0.0188990519971039,0.0,1,-0.37459248254768235,0.3510740739329364,-0.6613704603789473,0.6771334532996979
Lesotho,LSO,0.6891391591624065,0.009048966059705304,-0.008069969272902329,-0.01711893533260763,0.7579999999999999,0.6551724137931034,-0.17627737226277373,0.6836027713625866,0.0,-0.10843003472997348,0.0,1,-2.0067159068442977,0.782235361383361,-1.0288760706815054,0.14461920303760575
Liberia,LBR,0.13889199886661863,-0.005920050238410893,-0.028832315074935666,-0.022912264836524775,5.884500000000001,0.6896551724137931,-0.23469387755102047,0.0,0.0,0.0,0.0,1,-0.2989184791000557,-0.1985916042695625,-1.0583560444922886,0.4389184460011307
Libya,LBY,2.3170795391444985,-0.006269936236409083,-0.03194277240757676,-0.025672836171167675,7.2005,0.10344827586206896,-0.39836383804769826,0.0,0.3019852756820824,-0.0003788835564536,0.05553415166086498,1,-0.6972520043077033,-1.163035763037855,-0.6660830596903372,-0.6466417928398288
Lithuania,LTU,1.7628454590634126,0.004343284085557301,0.010732063869460927,0.006388779783903626,3.9885,0.0,-0.0393739541293433,0.0625927951863718,0.3083690151810042,-0.0174649513849255,-0.004993142529516714,1,-0.3864760863566716,0.6165906148000175,-0.16904192068461002,-0.6307684926004471
Luxembourg,LUX,2.8039056867457313,-0.02010818149253751,-0.0451709987888428,-0.02506281729630529,3.9855,0.0,-0.5828507078507078,0.0301858550580017,0.188167158755394,-0.4113820574306037,0.0811480156378006,1,-8.660843881086741,1.0918019475636078,-0.9169328949687626,-0.24975394744650206
Macao,MAC,1.0321162973797453,-0.02071192803327965,-0.029992327028738157,-0.009280398995458506,7.2635,0.27586206896551724,-0.5712650257584431,0.0,0.1601941747572815,0.0,0.1601941747572815,1,-0.8638370522258686,-1.1910775299530458,0.17889058069227382,-0.8482089982941411
Madagascar,MDG,0.13278111123381847,0.017120031770219722,0.022226905484209844,0.005106873713990122,7.5145,0.9655172413793104,-0.04195804195804181,0.3134496342149691,0.0,0.28440033844032125,0.0,0,5.693450043981928,-0.7133410366040517,-0.18093738037180485,-0.043689407028976605
Malawi,MWI,0.08525984395082342,-0.003882682890701123,0.04579322361761369,0.04967590650831481,5.361,0.9310344827586207,-0.010989010989010999,0.129500947567909,0.0,-0.07710051942475599,0.0,1,-0.9417024429259946,2.771143845386632,0.4692369640069254,-0.05940014869998974
Malaysia,MYS,2.1942200683159205,0.022265753652821543,0.0065071253265442846,-0.01575862832627726,3.5665,0.7241379310344828,-0.01609670549918575,0.3390027492125069,0.3391749227292994,0.26351595793767957,0.055310855819496185,0,4.880133068362999,-1.9376144416150514,0.16006865768641465,-0.5998866485627632
Maldives,MDV,1.541373181519971,0.05344577373169695,0.03609729844316528,-0.017348475288531666,8.747999999999998,0.9655172413793104,-0.06810545360558286,0.0,0.0,0.0,0.0,1,0.4427876305826163,0.7663582943287236,-0.17516337988381456,1.7462258546344134
Mali,MLI,0.23586232372198446,0.0596545795557504,0.0908511801502926,0.031196600594542198,2.4965,1.0,0.0,0.0,0.0,0.0,0.0,1,0.9340566342884277,2.4636274261183724,1.01241879619701,1.1806932748253298
